date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:16	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2017:31:16%20GMT	https://www.hasia.de/robots.txt		(from )
23:01:16	24004/24004	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2017:31:16%20GMT	https://www.hasia.de/	C:/Users/dell/Desktop/barath/food10/www.hasia.de/index.html	(from )
23:01:17	158207/158207	---M-Z	200	added ('OK')	text/css	etag:%2263f42842eaa10bc3d7b704545280f621%22	https://assets.website-files.com/5c91eac717f49d00009be310/css/hasia-restaurant.9b66f509e.css	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/css/hasia-restaurant.9b66f509e.css	(from https://www.hasia.de/)
23:01:18	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/dell/Desktop/barath/food10/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.hasia.de/)
23:01:19	13436/13436	---M--	200	added ('OK')	image/jpeg	etag:%22c1ebaca8c38d1d8aa819266f32094cbb%22	https://assets.website-files.com/5c91eac717f49d00009be310/5c93c60c04b4ddb65fbe0421_Zeichenfl%c3%a4che%201avatar.jpg	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5c93c60c04b4ddb65fbe0421_Zeichenfl%c3%a4che%201avatar.jpg	(from https://www.hasia.de/)
23:01:20	29553/29553	---M--	200	added ('OK')	image/jpeg	etag:%221aeb7e8f0ed89b7f10b06c6205ee4f45%22	https://assets.website-files.com/5c91eac717f49d00009be310/5c93c68f3a9d79b303603531_Zeichenfl%c3%a4che%201avatar2.jpg	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5c93c68f3a9d79b303603531_Zeichenfl%c3%a4che%201avatar2.jpg	(from https://www.hasia.de/)
23:01:20	60386/60386	---M--	200	added ('OK')	image/png	etag:%22ef4a2cf7e6439dc282b1677f09bb8a32%22	https://assets.website-files.com/5c91eac717f49d00009be310/5c938f9c305a73c3b4d12bc2_Ebene%202hasia.png	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5c938f9c305a73c3b4d12bc2_Ebene%202hasia.png	(from https://www.hasia.de/)
23:01:21	2810/2810	---M--	200	added ('OK')	image/png	etag:%226170a5c5e6363a82895c4dae6271511a%22	https://assets.website-files.com/5c91eac717f49d00009be310/5c93a0efbf62c8586ad0abf0_menuicon.png	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5c93a0efbf62c8586ad0abf0_menuicon.png	(from https://www.hasia.de/)
23:01:21	1029/1029	---M--	200	added ('OK')	image/png	etag:%22a9031b29e5e2f9eed41043ce93258dc5%22	https://assets.website-files.com/5c91eac717f49d00009be310/5c93ae052a9d421800372dd0_close.png	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5c93ae052a9d421800372dd0_close.png	(from https://www.hasia.de/)
23:01:22	1386/1386	---M--	200	added ('OK')	image/png	etag:%22855f23e28557b4406640aee23a06fede%22	https://assets.website-files.com/5c91eac717f49d00009be310/5c93b26fe1dd7a2d9e4518d3_Ebene%202logo2.png	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5c93b26fe1dd7a2d9e4518d3_Ebene%202logo2.png	(from https://www.hasia.de/)
23:01:22	11794/11794	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2017:31:22%20GMT	https://www.hasia.de/anfahrt-kontakt	C:/Users/dell/Desktop/barath/food10/www.hasia.de/anfahrt-kontakt.html	(from https://www.hasia.de/)
23:01:23	15877/15877	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2017:31:23%20GMT	https://www.hasia.de/speisekarte	C:/Users/dell/Desktop/barath/food10/www.hasia.de/speisekarte.html	(from https://www.hasia.de/)
23:01:24	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2017:31:24%20GMT	https://www.hasia.de/bilder	C:/Users/dell/Desktop/barath/food10/www.hasia.de/bilder	(from https://www.hasia.de/)
23:01:24	358/358	---M--	200	added ('OK')	image/png	etag:%22ecfe47d2d4a87dfdbeb2929e19417b34%22	https://assets.website-files.com/5c91eac717f49d00009be310/5cc072b59e1f67ef55808557_Down-Arrow.png	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5cc072b59e1f67ef55808557_Down-Arrow.png	(from https://www.hasia.de/)
23:01:25	235780/235780	---M--	200	added ('OK')	image/jpeg	etag:%22229a5a4bce31393a7e22c48043fdc048%22	https://assets.website-files.com/5c91eac717f49d00009be310/5cc7ec1c2d982eed148eb531__DSC2382%20Kopie.jpg	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5cc7ec1c2d982eed148eb531__DSC2382%20Kopie.jpg	(from https://www.hasia.de/)
23:01:25	224998/224998	---M--	200	added ('OK')	image/jpeg	etag:%22c03c18fdb5b8bcc09cce39543906615c%22	https://assets.website-files.com/5c91eac717f49d00009be310/5cc7eb1e2d982ea6248eb3e1__DSC2396%20Kopie.jpg	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5cc7eb1e2d982ea6248eb3e1__DSC2396%20Kopie.jpg	(from https://www.hasia.de/)
23:01:26	161475/161475	---M--	200	added ('OK')	image/jpeg	etag:%220959ef827ead620ca0cb687d5738fa45%22	https://assets.website-files.com/5c91eac717f49d00009be310/5cc811a9a2534fe0301b4a96__DSC2382.JPG	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5cc811a9a2534fe0301b4a96__DSC2382.jpg	(from https://www.hasia.de/)
23:01:27	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2017:31:27%20GMT	https://www.hasia.de/impressum	C:/Users/dell/Desktop/barath/food10/www.hasia.de/impressum	(from https://www.hasia.de/)
23:01:28	2802737/2802737	---M--	200	added ('OK')	image/jpeg	etag:%225c71ca792ed44178de2910ce2c21c449%22	https://assets.website-files.com/5c91eac717f49d00009be310/5cc07322fc13eda8fa9d8488__DSC0553.jpg	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5cc07322fc13eda8fa9d8488__DSC0553.jpg	(from https://www.hasia.de/)
23:01:28	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2017:31:28%20GMT	https://www.hasia.de/datenschutzerklaerung	C:/Users/dell/Desktop/barath/food10/www.hasia.de/datenschutzerklaerung	(from https://www.hasia.de/)
23:01:28	1381452/1381452	---M--	200	added ('OK')	image/jpeg	etag:%224544d1e68e6843fb30e893e407d7906c%22	https://assets.website-files.com/5c91eac717f49d00009be310/5cc073228018db2e3474d86d__DSC2018%20Kopie.jpg	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5cc073228018db2e3474d86d__DSC2018%20Kopie.jpg	(from https://www.hasia.de/)
23:01:28	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=5c91eac717f49d00009be310	C:/Users/dell/Desktop/barath/food10/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c87b07.js	(from https://www.hasia.de/)
23:01:29	191017/191017	---M-Z	200	added ('OK')	text/javascript	etag:%22387e3e78d5562f091f5614fccf81cb7e%22	https://assets.website-files.com/5c91eac717f49d00009be310/js/hasia-restaurant.d4db732b9.js	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/js/hasia-restaurant.d4db732b9.js	(from https://www.hasia.de/)
23:01:31	519576/519576	---M--	200	added ('OK')	image/jpeg	etag:%22d17b47ba4320b1d7e661a2bfc4d56a6a%22	https://assets.website-files.com/5c91eac717f49d00009be310/5c93db8d787f8f843a81326f__DSC2814.JPG	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5c93db8d787f8f843a81326f__DSC2814.jpg	(from https://assets.website-files.com/5c91eac717f49d00009be310/css/hasia-restaurant.9b66f509e.css)
23:01:31	277287/277287	---M--	200	added ('OK')	image/jpeg	etag:%2284f09e8fb1f533f045c1c6e06fc30aa6%22	https://assets.website-files.com/5c91eac717f49d00009be310/5c923d1e1aaad746955bafea_HIntergrund.jpg	C:/Users/dell/Desktop/barath/food10/assets.website-files.com/5c91eac717f49d00009be310/5c923d1e1aaad746955bafea_HIntergrund.jpg	(from https://assets.website-files.com/5c91eac717f49d00009be310/css/hasia-restaurant.9b66f509e.css)
